Breakdown,2021-10-30,2020-10-31,2019-11-02,2018-11-03
researchDevelopment,1296126000,1050519000,1130348000,1165047000
effectOfAccountingCharges,,,,
incomeBeforeTax,1328714000,1311617000,1485728000,1655314000
minorityInterest,,,,
netIncome,1390422000,1220761000,1363011000,1506980000
sellingGeneralAdministrative,918697000,660924000,647897000,696597000
grossProfit,4856095000,3690478000,4013750000,4250396000
ebit,2104461000,1549580000,1806464000,1959850000
operatingIncome,2104461000,1549580000,1806464000,1959850000
otherOperatingExpenses,,,,
interestExpense,-184825000,-193305000,-229075000,-253589000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-61708000,90856000,122717000,148334000
totalRevenue,7318286000,5603056000,5991065000,6224689000
totalOperatingExpenses,5213825000,4053476000,4184601000,4264839000
costOfRevenue,2462191000,1912578000,1977315000,1974293000
totalOtherIncomeExpenseNet,-775747000,-237963000,-320736000,-304536000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1390422000,1220761000,1363011000,1506980000
netIncomeApplicableToCommonShares,1390422000,1220761000,1359782000,1501071000
