Breakdown,2022-01-29,2021-01-30,2020-02-01,2019-02-02
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1423000000,1122000000,608000000,857000000
minorityInterest,1000000,1000000,4000000,4000000
netIncome,1333000000,844000000,-366000000,644000000
sellingGeneralAdministrative,1846000000,1462000000,597000000,4289000000
grossProfit,3855000000,3350000000,2650000000,5749000000
ebit,2009000000,1888000000,2053000000,1460000000
operatingIncome,2009000000,1888000000,2053000000,1460000000
otherOperatingExpenses,,,,
interestExpense,-388000000,-432000000,-370000000,-385000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,348000000,257000000,148000000,213000000
totalRevenue,7882000000,6434000000,5405000000,13237000000
totalOperatingExpenses,5873000000,4546000000,3352000000,11777000000
costOfRevenue,4027000000,3084000000,2755000000,7488000000
totalOtherIncomeExpenseNet,-586000000,-766000000,-1445000000,-603000000
discontinuedOperations,258000000,-21000000,-826000000,-826000000
netIncomeFromContinuingOps,1075000000,865000000,460000000,644000000
netIncomeApplicableToCommonShares,1333000000,844000000,-366000000,644000000
