Breakdown,2021-07-31,2020-07-31,2019-07-31,2018-07-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1121846000,800839000,704951000,562511000
minorityInterest,,,,
netIncome,936495000,699907000,591693000,417867000
sellingGeneralAdministrative,241025000,233521000,212467000,176890000
grossProfit,1377451000,1049620000,928942000,762366000
ebit,1136426000,816099000,716475000,585476000
operatingIncome,1136426000,816099000,716475000,585476000
otherOperatingExpenses,,,,
interestExpense,-20247000,-18871000,-17585000,-20368000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,185351000,100932000,113258000,144504000
totalRevenue,2692511000,2205583000,2041957000,1805695000
totalOperatingExpenses,1556085000,1389484000,1325482000,1220219000
costOfRevenue,1315060000,1155963000,1113015000,1043329000
totalOtherIncomeExpenseNet,-14580000,-15260000,-11524000,-22965000
discontinuedOperations,,,,
netIncomeFromContinuingOps,936495000,699907000,591693000,418007000
netIncomeApplicableToCommonShares,936495000,699907000,591693000,417867000
