Breakdown,2022-05-31,2021-05-31,2020-05-31,2019-05-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4896000000,6674000000,1669000000,655000000
minorityInterest,,,,
netIncome,3826000000,5231000000,1286000000,540000000
sellingGeneralAdministrative,470000000,428000000,427000000,468000000
grossProfit,23411000000,23730000000,16837000000,14929000000
ebit,6007000000,7956000000,2730000000,1581000000
operatingIncome,6007000000,7956000000,2730000000,1581000000
otherOperatingExpenses,12964000000,11981000000,10065000000,9527000000
interestExpense,-689000000,-741000000,-672000000,-588000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1070000000,1443000000,383000000,115000000
totalRevenue,93512000000,83959000000,69217000000,69693000000
totalOperatingExpenses,87505000000,76003000000,66487000000,68112000000
costOfRevenue,70101000000,60229000000,52380000000,54764000000
totalOtherIncomeExpenseNet,-1111000000,-1282000000,-1061000000,-926000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3826000000,5231000000,1286000000,540000000
netIncomeApplicableToCommonShares,3819000000,5231000000,1284000000,539000000
