Breakdown,2021-10-31,2020-10-31,2019-10-31,2018-10-31
researchDevelopment,811000000,715000000,688000000,624000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1010000000,761000000,715000000,-411000000
minorityInterest,,,,
netIncome,894000000,627000000,621000000,165000000
sellingGeneralAdministrative,1186000000,1052000000,1112000000,1065000000
grossProfit,3069000000,2533000000,2534000000,2111000000
ebit,1089000000,778000000,754000000,435000000
operatingIncome,1089000000,778000000,754000000,435000000
otherOperatingExpenses,-17000000,-12000000,-20000000,-13000000
interestExpense,-79000000,-78000000,-80000000,-83000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,116000000,134000000,94000000,-576000000
totalRevenue,4941000000,4221000000,4303000000,3878000000
totalOperatingExpenses,3852000000,3443000000,3549000000,3443000000
costOfRevenue,1872000000,1688000000,1769000000,1767000000
totalOtherIncomeExpenseNet,-79000000,-17000000,-39000000,-846000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,894000000,627000000,621000000,165000000
netIncomeApplicableToCommonShares,894000000,627000000,621000000,165000000
