Breakdown,2022-04-29,2021-04-30,2020-04-24,2019-04-26
researchDevelopment,881000000,881000000,847000000,827000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1095000000,962000000,944000000,1268000000
minorityInterest,,,,
netIncome,937000000,730000000,819000000,1169000000
sellingGeneralAdministrative,2136000000,1996000000,1848000000,1935000000
grossProfit,4220000000,3815000000,3623000000,3945000000
ebit,1203000000,938000000,928000000,1183000000
operatingIncome,1203000000,938000000,928000000,1183000000
otherOperatingExpenses,,,,
interestExpense,-73000000,-74000000,-55000000,-58000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,158000000,232000000,125000000,99000000
totalRevenue,6318000000,5744000000,5412000000,6146000000
totalOperatingExpenses,5115000000,4806000000,4484000000,4963000000
costOfRevenue,2098000000,1929000000,1789000000,2201000000
totalOtherIncomeExpenseNet,-108000000,24000000,16000000,85000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,937000000,730000000,819000000,1169000000
netIncomeApplicableToCommonShares,937000000,730000000,819000000,1169000000
