Breakdown,2021-09-30,2020-09-30,2019-09-30,2018-09-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1791000000,1052000000,1375000000,1311000000
minorityInterest,58000000,62000000,62000000,84000000
netIncome,1403000000,818000000,1034000000,857000000
sellingGeneralAdministrative,7038000000,5915000000,5584000000,5252000000
grossProfit,9254000000,7263000000,7226000000,6792000000
ebit,0,0,0,0
operatingIncome,1904000000,1125000000,1365000000,1297000000
otherOperatingExpenses,312000000,223000000,277000000,243000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,388000000,234000000,341000000,454000000
totalRevenue,9813000000,7757000000,7693000000,7236000000
totalOperatingExpenses,7909000000,6632000000,6328000000,5939000000
costOfRevenue,559000000,494000000,467000000,444000000
totalOtherIncomeExpenseNet,-113000000,-73000000,10000000,14000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1403000000,818000000,1034000000,857000000
netIncomeApplicableToCommonShares,1401000000,817000000,1032000000,856000000
