Breakdown,2021-10-01,2020-10-02,2019-09-27,2018-09-28
researchDevelopment,532300000,464100000,424100000,404500000
effectOfAccountingCharges,,,,
incomeBeforeTax,1598700000,891700000,961000000,1332100000
minorityInterest,,,,
netIncome,1498300000,814800000,853600000,918400000
sellingGeneralAdministrative,281800000,231400000,198300000,207800000
grossProfit,2512400000,1612900000,1603800000,1950700000
ebit,1662300000,905600000,958800000,1320100000
operatingIncome,1662300000,905600000,958800000,1320100000
otherOperatingExpenses,,,,
interestExpense,-13400000,-13400000,-13400000,-13400000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,100400000,76900000,107400000,413700000
totalRevenue,5109100000,3355700000,3376800000,3868000000
totalOperatingExpenses,3446800000,2450100000,2418000000,2547900000
costOfRevenue,2596700000,1742800000,1773000000,1917300000
totalOtherIncomeExpenseNet,-63600000,-13900000,2200000,12000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1498300000,814800000,853600000,918400000
netIncomeApplicableToCommonShares,1498300000,814800000,853600000,918400000
